 "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "Xp",  "Yp"
-50,101,-5.9999,-8.00006,-1.98983e-07,-1.1432e-06,2.19647e-06,5.24321e-07,-1.8665e-06,0.5824,0,100,49,-5.9999,8.00006,-55.9999,92.9999
-45,101,-6,-8,3.30571e-07,-9.19418e-07,1.07459e-06,5.29777e-07,-1.11862e-06,0.355044,6.19408e-06,105,49,-6,8,-51,93
-40,101,-6,-8,-4.86713e-08,-8.17335e-07,8.32332e-07,1.33482e-07,-9.99488e-07,0.412573,4.12353e-06,110,49,-6,8,-46,93
-35,101,-5.99992,-8.00008,2.63738e-08,-6.27152e-07,6.67519e-07,1.66697e-07,-7.67475e-07,0.397995,0,115,49,-5.99992,8.00008,-40.9999,92.9999
-30,101,-6.00002,-8.00001,6.33581e-07,-8.20084e-07,1.64746e-07,6.38234e-07,-8.24737e-07,0.0564251,0,120,49,-6.00002,8.00001,-36,93
-25,101,-5.99993,-8.00005,6.48718e-07,-8.83532e-07,-3.24877e-07,6.65749e-07,-9.00563e-07,-0.104466,0,125,49,-5.99993,8.00005,-30.9999,93
-20,101,-5.99992,-8.00008,5.42014e-07,-8.35347e-07,-2.92703e-07,5.57393e-07,-8.50726e-07,-0.104698,0,130,49,-5.99992,8.00008,-25.9999,92.9999
-15,101,-5.99994,-8.00007,-6.14751e-10,-1.86197e-07,2.56403e-08,2.66688e-10,-1.87079e-07,0.0686459,0,135,49,-5.99993,8.00007,-20.9999,92.9999
-10,101,-6,-7.99999,-1.05046e-06,4.97659e-07,1.10589e-06,6.7487e-07,-1.22767e-06,1.26065,0,140,49,-6,7.99999,-16,93
-5,101,-5.99991,-8.0001,-1.78293e-06,1.33238e-06,1.51641e-06,1.50712e-06,-1.95766e-06,1.3443,0,145,49,-5.99991,8.0001,-10.9999,92.9999
0,101,-5.99998,-8,-1.99447e-06,1.55239e-06,1.45397e-06,1.69561e-06,-2.13769e-06,1.37628,7.47529e-06,150,49,-5.99999,8,-5.99998,93
5,101,-6,-8,-1.8071e-06,1.32027e-06,1.13199e-06,1.41956e-06,-1.90638e-06,1.39715,0,155,49,-5.99999,8,-1,93
10,101,-6,-8,-4.26927e-07,5.74413e-07,3.50548e-07,6.04207e-07,-4.56721e-07,1.40242,8.67894e-06,160,49,-6,8,4,93
15,101,-6,-8,9.74734e-07,2.55402e-07,-9.23863e-07,1.20051e-06,2.9628e-08,-0.454616,0,165,49,-6,8,9,93
20,101,-5.99998,-8.00001,1.36575e-06,3.06307e-07,-1.46462e-06,1.73985e-06,-6.77871e-08,-0.472283,0,170,49,-5.99999,8.00001,14,93
25,101,-6,-8,1.28592e-06,5.10982e-07,-2.02746e-06,1.9837e-06,-1.86804e-07,-0.602855,0,175,49,-6,8,19,93
30,101,-5.99998,-8.00001,5.59638e-07,4.14021e-07,-2.00693e-06,1.49293e-06,-5.19272e-07,-0.749183,1.03303e-05,180,49,-5.99999,8.00001,24,93
35,101,-6,-8.00002,-2.07246e-07,1.06168e-07,-1.65868e-06,7.93476e-07,-8.94553e-07,-0.878774,1.59632e-05,185,49,-6,8.00001,29,93
40,101,-5.99994,-8.00005,-5.5113e-07,-1.25581e-07,-1.4753e-06,4.29367e-07,-1.10608e-06,-0.925812,0,190,49,-5.99994,8.00005,34.0001,93
45,101,-6,-8.00001,-9.38095e-07,-3.87005e-07,-1.21948e-06,6.56092e-09,-1.33166e-06,-0.997617,6.88997e-06,195,49,-6,8.00001,39,93
50,101,-5.99997,-8.00006,-5.66259e-07,-8.62379e-07,-6.99714e-07,-3.34422e-07,-1.09422e-06,-0.585225,0,200,49,-5.99997,8.00006,44,92.9999
55,101,-5.99998,-8,8.10334e-07,-1.37172e-06,-4.86665e-07,8.3714e-07,-1.39852e-06,-0.10972,0,205,49,-5.99999,8,49,93
60,101,-6.00003,-7.99999,1.36631e-06,-2.13591e-06,1.14589e-06,1.45766e-06,-2.22726e-06,0.158106,1.27345e-05,210,49,-6.00003,7.99999,54,93
65,101,-5.99991,-8.00007,1.24007e-06,-2.5527e-06,2.9823e-06,1.75612e-06,-3.06874e-06,0.33317,0,215,49,-5.99991,8.00007,59.0001,92.9999
70,101,-6,-8,1.95221e-07,-2.42571e-06,4.16055e-06,1.34338e-06,-3.57388e-06,0.504323,0,220,49,-6,7.99999,64,93
75,101,-6,-8.00001,-1.46076e-06,-1.72556e-06,4.16755e-06,4.9482e-07,-3.68114e-06,0.753671,3.67296e-06,225,49,-5.99999,8.00001,69,93
80,101,-5.99997,-8.00002,-1.78086e-06,-7.66533e-07,2.94794e-06,2.85088e-07,-2.83248e-06,0.951094,6.78003e-06,230,49,-5.99997,8.00002,74,93
85,101,-6.00005,-8,-1.05127e-06,-1.63121e-09,1.27169e-06,2.98008e-07,-1.35091e-06,1.13042,6.75467e-06,235,49,-6.00005,8.00001,79,93
90,101,-5.99998,-8.00001,-5.69748e-07,1.71526e-08,9.18719e-07,2.68793e-07,-8.21389e-07,1.06964,2.5564e-06,240,49,-5.99999,8.00001,84,93
95,101,-5.99998,-8,1.61947e-07,-1.28128e-07,5.9146e-07,3.46291e-07,-3.12472e-07,0.557414,0,245,49,-5.99998,8,89,93
100,101,-6,-8,1.02158e-06,-2.91332e-07,-8.30672e-08,1.0229e-06,-2.92645e-07,-0.0315926,0,250,49,-6,8,94,93
105,101,-5.99998,-8,1.2489e-06,-6.66166e-07,-2.00081e-07,1.25411e-06,-6.71377e-07,-0.0520498,0,255,49,-5.99999,8,99,93
110,101,-5.99988,-8.00007,7.9338e-07,-1.11694e-06,4.76991e-07,8.22705e-07,-1.14627e-06,0.122344,0,260,49,-5.99987,8.00007,104,92.9999
115,101,-6,-8.00001,-3.18824e-07,-1.71307e-06,1.62548e-06,5.48144e-08,-2.08671e-06,0.430912,8.63008e-06,265,49,-5.99999,8.00001,109,93
120,101,-6,-8,-8.93056e-07,-1.68575e-06,1.56213e-06,-4.13532e-07,-2.16527e-06,0.550605,1.64189e-05,270,49,-6,8,114,93
125,101,-6,-8.00002,2.8534e-07,-1.01156e-06,-6.81682e-07,3.69461e-07,-1.09568e-06,-0.241967,6.64102e-06,275,49,-6.00001,8.00002,119,93
130,101,-6,-8,3.10628e-06,4.84587e-07,-5.07501e-06,4.65152e-06,-1.06066e-06,-0.546983,4.97535e-06,280,49,-5.99999,8,124,93
-135,96,0,0,0,0,0,0,0,0,-1,15,54,0,0,-135,96
-130,96,-6.00003,-8.00001,0,0,0,0,0,0,-1,20,54,-6.00003,8.00001,-136,88
-125,96,-6.00002,-8.00001,3.28225e-06,4.03613e-07,-5.15515e-08,3.28248e-06,4.03383e-07,-0.00895319,0,25,54,-6.00002,8.00001,-131,88
-120,96,-5.99998,-8,2.53236e-06,5.57791e-07,4.61001e-07,2.55891e-06,5.3124e-07,0.11468,0,30,54,-5.99998,8,-126,88
-115,96,-5.99998,-8,2.49309e-06,2.68878e-07,5.19014e-07,2.52297e-06,2.39001e-07,0.114622,2.29152e-06,35,54,-5.99998,8,-121,88
-110,96,-6,-8,2.07695e-06,-5.82888e-07,-6.58912e-08,2.07736e-06,-5.83296e-07,-0.0123838,0,40,54,-6,8,-116,88
-105,96,-5.99987,-7.99995,1.03843e-06,-1.27564e-06,-8.98354e-07,1.12256e-06,-1.35977e-06,-0.185152,0,45,54,-5.99987,7.99995,-111,88
-100,96,-5.99999,-8,-3.01381e-07,-1.17891e-06,-1.26075e-06,2.78953e-08,-1.50818e-06,-0.481368,0,50,54,-5.99999,8,-106,88
-95,96,-5.99994,-8.00007,-1.10309e-06,-5.83167e-07,-8.99043e-07,-3.23851e-07,-1.36241e-06,-1.04756,0,55,54,-5.99993,8.00007,-101,87.9999
-90,96,-6,-8,-5.23602e-07,-2.14824e-07,-3.13076e-07,-1.49349e-07,-5.89077e-07,-1.17464,1.33696e-05,60,54,-6,8,-96,88
-85,96,-6.00001,-7.99998,4.22261e-07,-4.22117e-07,-7.43057e-09,4.22278e-07,-4.22134e-07,-0.00439991,3.25369e-06,65,54,-6.00001,7.99998,-91,88
-80,96,-6.00001,-8.00001,6.2299e-07,-7.81322e-07,2.19599e-07,6.31523e-07,-7.89855e-07,0.0775593,0,70,54,-6.00001,8.00001,-86,88
-75,96,-5.9999,-8.00002,7.12706e-08,-9.49959e-07,1.27306e-06,3.76682e-07,-1.25537e-06,0.447362,0,75,54,-5.9999,8.00002,-80.9999,88
-70,96,-5.99995,-8.00005,-1.15048e-06,-1.02407e-06,2.24658e-06,3.77927e-08,-2.21235e-06,0.813503,0,80,54,-5.99994,8.00005,-75.9999,87.9999
-65,96,-6,-8,-1.69237e-06,-1.15852e-06,2.88453e-06,4.1313e-08,-2.8922e-06,0.876901,6.19784e-06,85,54,-6,8,-71,88
-60,96,-6,-8,-9.55918e-07,-1.16126e-06,2.6461e-06,2.6844e-07,-2.38562e-06,0.746675,8.3027e-06,90,54,-6,8,-66,88
-55,96,-6.00005,-8.00004,-1.82713e-07,-8.46529e-07,2.2509e-06,6.58752e-07,-1.68799e-06,0.642008,1.129e-05,95,54,-6.00005,8.00004,-61,88
-50,96,-5.9999,-8.00005,6.10633e-07,-5.95249e-07,1.55179e-06,9.90318e-07,-9.74933e-07,0.455091,0,100,54,-5.9999,8.00005,-55.9999,88
-45,96,-5.99999,-8.00002,8.50561e-07,-6.11891e-07,1.29958e-06,1.09756e-06,-8.58888e-07,0.36325,0,105,54,-5.99999,8.00001,-51,88
-40,96,-6,-8.00002,5.72018e-08,-7.52616e-07,1.57623e-06,5.3834e-07,-1.23375e-06,0.548098,1.31355e-05,110,54,-6,8.00002,-46,88
-35,96,-5.9999,-8.00005,-1.5542e-07,-7.79278e-07,1.58042e-06,3.82197e-07,-1.3169e-06,0.597415,0,115,54,-5.9999,8.00005,-40.9999,88
-30,96,-6.00001,-8,5.90873e-07,-1.26215e-06,1.1207e-06,7.47144e-07,-1.41842e-06,0.27197,3.00329e-06,120,54,-6.00001,8,-36,88
-25,96,-6.00001,-8,9.59439e-07,-1.57983e-06,2.99888e-07,9.68263e-07,-1.58866e-06,0.0587778,7.47127e-06,125,54,-6,8,-31,88
-20,96,-5.99993,-8.00008,1.13637e-06,-1.48365e-06,-1.85816e-07,1.13966e-06,-1.48694e-06,-0.0354016,0,130,54,-5.99993,8.00008,-25.9999,87.9999
-15,96,-5.99994,-8.00006,6.50347e-07,-8.6249e-07,6.82547e-08,6.51116e-07,-8.6326e-07,0.0225432,0,135,54,-5.99994,8.00007,-20.9999,87.9999
-10,96,-5.99998,-8.00003,-4.93742e-07,1.01388e-07,9.93751e-07,3.82987e-07,-7.7534e-07,1.05519,7.47464e-06,140,54,-5.99999,8.00003,-16,88
-5,96,-5.99989,-8.00009,-1.4258e-06,1.13035e-06,1.55178e-06,1.34742e-06,-1.64288e-06,1.29799,0,145,54,-5.99989,8.00009,-10.9999,87.9999
0,96,-6,-7.99999,-1.96567e-06,1.47747e-06,1.72327e-06,1.68106e-06,-2.16925e-06,1.33878,7.73264e-06,150,54,-6,7.99999,-6,88
5,96,-6,-8,-1.99427e-06,1.33234e-06,1.59743e-06,1.51418e-06,-2.1761e-06,1.34696,0,155,54,-6.00001,8,-1,88
10,96,-6.00003,-7.99999,-6.05083e-07,7.31846e-07,7.39468e-07,8.27285e-07,-7.00522e-07,1.31818,0,160,54,-6.00003,7.99999,3.99997,88
15,96,-5.99998,-8,1.08543e-06,3.41211e-08,-4.00633e-07,1.1223e-06,-2.75401e-09,-0.182046,1.11169e-05,165,54,-5.99999,8,9.00002,88
20,96,-6,-8,1.86971e-06,-1.99147e-07,-8.61774e-07,1.95587e-06,-2.85302e-07,-0.197344,3.83684e-06,170,54,-6,8,14,88
25,96,-5.99982,-8.0001,1.82974e-06,1.96549e-07,-1.3881e-06,2.08484e-06,-5.85514e-08,-0.352227,0,175,54,-5.99981,8.0001,19.0002,87.9999
30,96,-6,-8,6.16507e-07,4.77446e-07,-1.50866e-06,1.3045e-06,-2.1055e-07,-0.739441,6.72177e-06,180,54,-6,8,24,88
35,96,-5.99997,-8,-5.3495e-07,5.75983e-07,-1.52766e-06,9.64962e-07,-9.23928e-07,-1.09978,1.53714e-05,185,54,-5.99997,8,29,88
40,96,-6,-8.00002,-8.73006e-07,3.69078e-07,-1.41197e-06,6.88306e-07,-1.19223e-06,-1.14614,5.13005e-06,190,54,-5.99999,8.00002,34,88
45,96,-6,-8.00002,-1.18499e-06,-8.8185e-08,-8.23723e-07,4.92511e-08,-1.32243e-06,-1.24872,6.75819e-07,195,54,-6,8.00002,39,88
50,96,-5.99994,-8.00004,-8.26785e-07,-7.67183e-07,-1.36621e-07,-7.22456e-07,-8.71512e-07,-0.991081,0,200,54,-5.99994,8.00004,44.0001,88
55,96,-6,-8.00001,4.99579e-08,-1.38533e-06,1.21083e-07,5.25071e-08,-1.38788e-06,0.0420812,9.78925e-06,205,54,-6,8.00001,49,88
60,96,-6.00002,-7.99999,1.31123e-07,-2.22559e-06,1.36101e-06,3.13506e-07,-2.40797e-06,0.261857,1.70957e-05,210,54,-6.00002,7.99999,54,88
65,96,-5.99992,-8.00005,3.0298e-07,-2.59931e-06,2.22449e-06,6.80198e-07,-2.97653e-06,0.326976,0,215,54,-5.99993,8.00005,59.0001,88
70,96,-6,-8,7.62931e-08,-2.28222e-06,2.48084e-06,6.08554e-07,-2.81448e-06,0.405335,1.03064e-05,220,54,-5.99999,8,64,88
75,96,-5.99994,-8.00005,-7.64857e-07,-1.38047e-06,1.94969e-06,-5.03749e-08,-2.09495e-06,0.632478,0,225,54,-5.99994,8.00004,69.0001,88
80,96,-5.99995,-8.00002,-7.57429e-07,-4.79718e-07,9.81791e-07,-1.08418e-07,-1.12873e-06,0.923228,0,230,54,-5.99995,8.00002,74,88
85,96,-6,-8.00002,-3.82043e-07,9.28434e-09,2.79411e-07,5.40408e-08,-4.268e-07,1.26076,1.05456e-05,235,54,-5.99999,8.00002,79,88
90,96,-5.99998,-8.00001,-4.02545e-07,-1.13832e-07,6.41095e-07,9.33647e-08,-6.09741e-07,0.996968,6.9154e-06,240,54,-5.99999,8.00001,84,88
95,96,-5.99997,-8,5.97575e-08,-2.41023e-07,5.85443e-07,2.38461e-07,-4.19727e-07,0.548098,0,245,54,-5.99997,8,89,88
100,96,-6,-8,5.63394e-07,-3.559e-07,4.04007e-07,6.05824e-07,-3.98329e-07,0.207034,0,250,54,-6,8,94,88
105,96,-6,-8,5.79099e-07,-7.7044e-07,4.02446e-07,6.08463e-07,-7.99804e-07,0.144907,2.94481e-06,255,54,-5.99999,8,99,88
110,96,-5.99998,-7.99999,1.52316e-07,-1.30915e-06,9.14434e-07,2.83568e-07,-1.4404e-06,0.279549,7.24152e-06,260,54,-5.99999,7.99999,104,88
115,96,-6,-8.00001,-4.91535e-07,-1.60773e-06,1.1436e-06,-2.50616e-07,-1.84865e-06,0.398762,7.61327e-06,265,54,-6,8.00001,109,88
120,96,-6,-8,-3.05777e-07,-1.18563e-06,-1.82643e-07,-2.96398e-07,-1.19501e-06,-0.102339,7.87212e-06,270,54,-6.00001,8,114,88
125,96,-6,-7.99998,1.50434e-06,-6.44201e-08,-3.73162e-06,2.74394e-06,-1.30402e-06,-0.586416,1.09493e-05,275,54,-6,7.99998,119,88
130,96,-5.99994,-8.0001,4.414e-06,1.29682e-06,-9.21986e-06,7.72169e-06,-2.01087e-06,-0.622384,0,280,54,-5.99995,8.00009,124,87.9999
-135,91,0,0,0,0,0,0,0,0,-1,15,59,0,0,-135,91
-130,91,-6,-8,0,0,0,0,0,0,-1,20,59,-6,8,-136,83
-125,91,-6.00001,-8,2.69028e-06,7.32255e-07,-1.34493e-06,2.89899e-06,5.2355e-07,-0.300933,2.10998e-06,25,59,-6,8,-131,83
-120,91,-6,-8.00001,2.10005e-06,9.55699e-07,-7.07476e-07,2.20057e-06,8.55182e-07,-0.276858,0,30,59,-6,8,-126,83
-115,91,-5.99999,-8,2.28826e-06,8.85247e-07,-4.93476e-07,2.33038e-06,8.43119e-07,-0.169106,0,35,59,-5.99999,8,-121,83
-110,91,-5.99998,-8,1.98883e-06,2.70914e-07,-7.06692e-07,2.05867e-06,2.01076e-07,-0.195133,1.00419e-05,40,59,-5.99998,8,-116,83
-105,91,-6,-8,1.10298e-06,-3.52106e-07,-1.3055e-06,1.35288e-06,-6.02011e-07,-0.365633,8.70307e-06,45,59,-6,8,-111,83
-100,91,-5.99986,-8.00005,-5.43731e-08,-6.08154e-07,-1.44402e-06,4.42018e-07,-1.10455e-06,-0.602297,0,50,59,-5.99986,8.00006,-106,82.9999
-95,91,-6,-8.00001,-7.07772e-07,-2.85099e-07,-9.26578e-07,1.27797e-08,-1.00565e-06,-0.999383,3.37738e-06,55,59,-6,8.00001,-101,83
-90,91,-5.99994,-8.00007,-1.80572e-07,4.38655e-08,-1.39591e-07,6.37998e-08,-2.00506e-07,-1.29259,0,60,59,-5.99994,8.00007,-95.9999,82.9999
-85,91,-6,-8,5.29242e-07,2.8245e-07,2.3461e-07,5.76102e-07,2.3559e-07,0.38005,8.4791e-06,65,59,-6,8,-91,83
-80,91,-5.9999,-8.00002,1.39482e-07,4.64337e-07,2.91784e-07,5.20237e-07,8.35815e-08,1.20489,0,70,59,-5.9999,8.00002,-85.9999,83
-75,91,-6.00001,-8.00001,-9.12005e-07,7.12305e-07,9.22048e-07,8.34034e-07,-1.03373e-06,1.31265,7.90574e-06,75,59,-6.00001,8,-81,83
-70,91,-6,-7.99999,-2.06164e-06,7.13727e-07,1.49647e-06,9.02597e-07,-2.25051e-06,1.32354,1.47666e-05,80,59,-6,7.99999,-76,83
-65,91,-5.99999,-8,-2.10553e-06,4.79713e-07,1.38753e-06,6.54124e-07,-2.27994e-06,1.3245,0,85,59,-6,8,-71,83
-60,91,-5.99999,-7.99999,-8.2057e-07,2.30918e-08,7.54022e-07,1.67016e-07,-9.64494e-07,1.20612,9.00716e-06,90,59,-5.99999,7.99999,-66,83
-55,91,-6.00004,-8.00004,2.4776e-07,-5.82788e-08,3.60235e-07,3.31082e-07,-1.41601e-07,0.433281,3.36694e-06,95,59,-6.00004,8.00004,-61,83
-50,91,-6,-8,8.64288e-07,1.05024e-07,1.4735e-07,8.71371e-07,9.79408e-08,0.0958435,4.64667e-06,100,59,-6,8,-56,83
-45,91,-5.99999,-8.00001,7.46817e-07,8.42999e-08,4.2786e-07,8.09892e-07,2.12259e-08,0.286712,9.69452e-06,105,59,-5.99999,8.00001,-51,83
-40,91,-5.99999,-8.00001,2.16295e-08,1.88497e-07,7.07275e-07,4.6841e-07,-2.58283e-07,0.901245,0,110,59,-5.99999,8.00001,-46,83
-35,91,-6,-8.00001,-1.94825e-07,3.08955e-07,8.8249e-07,5.65146e-07,-4.51015e-07,1.04476,0,115,59,-6,8.00001,-41,83
-30,91,-6,-8,4.61095e-07,-1.24087e-07,9.66273e-07,7.33331e-07,-3.96324e-07,0.513132,1.84677e-07,120,59,-6,8,-36,83
-25,91,-6,-8.00001,1.03332e-06,-7.96814e-07,4.13434e-07,1.05638e-06,-8.19873e-07,0.111087,5.54855e-06,125,59,-6,8.00001,-31,83
-20,91,-6.00001,-7.99997,1.33152e-06,-9.63974e-07,-3.982e-07,1.34867e-06,-9.81115e-07,-0.0858804,8.42754e-06,130,59,-6.00001,7.99997,-26,83
-15,91,-5.99994,-8.00009,9.30824e-07,-9.4747e-07,-1.97463e-07,9.35999e-07,-9.52646e-07,-0.0523721,0,135,59,-5.99994,8.00009,-20.9999,82.9999
-10,91,-5.99998,-8.00002,-6.08839e-08,-2.66955e-07,5.93829e-07,1.50365e-07,-4.78204e-07,0.618389,2.76647e-06,140,59,-5.99999,8.00002,-16,83
-5,91,-5.99998,-8.00003,-9.73627e-07,3.9385e-07,1.69459e-06,7.98876e-07,-1.37865e-06,1.12488,8.00023e-06,145,59,-5.99999,8.00003,-11,83
0,91,-5.99991,-8.00012,-1.60863e-06,6.93518e-07,2.21297e-06,1.13909e-06,-2.05421e-06,1.18797,0,150,59,-5.99992,8.00012,-5.99991,82.9999
5,91,-5.99998,-8.00001,-1.74384e-06,6.41454e-07,2.16424e-06,1.05921e-06,-2.16159e-06,1.20237,0,155,59,-5.99999,8.00001,-0.999985,83
10,91,-6,-8,-7.77538e-07,4.80606e-07,1.21473e-06,7.25962e-07,-1.02289e-06,1.18687,0,160,59,-6,8,4,83
15,91,-6,-8.00001,5.42211e-07,-2.3029e-07,4.47024e-07,6.02219e-07,-2.90298e-07,0.262295,0,165,59,-6,8.00001,9,83
20,91,-5.99998,-7.99999,1.75901e-06,-6.3867e-07,-7.17779e-08,1.75955e-06,-6.39208e-07,-0.0149637,0,170,59,-5.99999,7.99999,14,83
25,91,-6,-8.00001,2.30895e-06,-3.7727e-07,-5.09809e-07,2.33292e-06,-4.01245e-07,-0.0937782,1.29134e-05,175,59,-5.99999,8.00001,19,83
30,91,-6,-8.00002,1.15192e-06,2.82167e-08,-6.53546e-07,1.24004e-06,-5.9899e-08,-0.26339,7.817e-06,180,59,-6.00001,8.00002,24,83
35,91,-5.99985,-8.00005,-3.35627e-07,3.40058e-07,-8.16366e-07,5.32075e-07,-5.27644e-07,-1.13109,0,185,59,-5.99985,8.00005,29.0002,83
40,91,-5.99994,-8.00005,-1.00247e-06,3.34623e-07,-7.71147e-07,4.37842e-07,-1.10568e-06,-1.30923,0,190,59,-5.99994,8.00005,34.0001,83
45,91,-6.00002,-8.00002,-1.37894e-06,1.66163e-07,-1.16447e-07,1.68354e-07,-1.38113e-06,-1.53318,8.75639e-06,195,59,-6.00001,8.00002,39,83
50,91,-5.99994,-8.00003,-8.36873e-07,1.13279e-09,3.28954e-07,3.22589e-08,-8.67999e-07,1.38377,0,200,59,-5.99994,8.00003,44.0001,83
55,91,-6,-7.99999,-2.00089e-07,3.4027e-08,1.98475e-07,7.04313e-08,-2.36493e-07,1.2192,1.23622e-05,205,59,-6,7.99999,49,83
60,91,-6.00002,-8,-5.27532e-07,-2.90293e-07,4.4691e-07,-1.55925e-07,-6.619e-07,1.02941,1.52961e-05,210,59,-6.00002,8,54,83
65,91,-6.00003,-7.99997,-2.25907e-07,-6.43344e-07,1.09221e-08,-2.25836e-07,-6.43415e-07,0.0130793,0,215,59,-6.00004,7.99997,59,83
70,91,-6.00002,-7.99997,1.14664e-07,-7.49858e-07,-4.66133e-07,1.73493e-07,-8.08688e-07,-0.247249,1.44382e-05,220,59,-6.00002,7.99997,64,83
75,91,-6.00002,-7.99998,-2.00953e-07,-5.12813e-07,-6.43697e-07,7.4931e-10,-7.14515e-07,-0.559819,7.52218e-06,225,59,-6.00001,7.99998,69,83
80,91,-5.99995,-8.00003,-1.57152e-07,-3.00133e-07,-5.31224e-07,4.64223e-08,-5.03707e-07,-0.653936,4.17272e-06,230,59,-5.99996,8.00003,74,83
85,91,-5.99998,-8.00001,-1.94133e-07,-1.43257e-07,-1.42112e-07,-9.32225e-08,-2.44167e-07,-0.95729,6.0026e-06,235,59,-5.99999,8,79,83
90,91,-6,-8.00001,-6.01948e-07,-1.77239e-07,4.94264e-07,-6.37583e-08,-7.15429e-07,1.14033,8.34588e-06,240,59,-6,8,84,83
95,91,-6,-7.99999,-2.97214e-07,-1.59304e-07,3.87436e-07,-2.26344e-08,-4.33883e-07,0.956383,0,245,59,-6,7.99999,89,83
100,91,-6.00002,-7.99999,1.76868e-07,-2.50985e-07,3.83442e-07,2.50207e-07,-3.24324e-07,0.365356,3.28177e-06,250,59,-6.00001,8,94,83
105,91,-6,-8,2.58628e-07,-6.60878e-07,3.77159e-07,2.95801e-07,-6.98051e-07,0.194624,0,255,59,-6,8,99,83
110,91,-5.99998,-8,5.89022e-09,-1.15348e-06,3.22333e-07,2.78773e-08,-1.17547e-06,0.135588,1.88058e-06,260,59,-5.99998,8,104,83
115,91,-6,-8.00001,-1.75738e-07,-1.11595e-06,-5.21435e-07,-1.08281e-07,-1.1834e-06,-0.253182,6.41105e-06,265,59,-5.99999,8,109,83
120,91,-6,-8,5.38515e-07,-5.49068e-07,-2.56467e-06,1.3876e-06,-1.39815e-06,-0.58486,2.93797e-06,270,59,-6,8,114,83
125,91,-6,-8.00001,2.63101e-06,4.4049e-07,-5.92038e-06,4.69206e-06,-1.62056e-06,-0.60821,1.04193e-05,275,59,-6.00001,8.00001,119,83
130,91,-6,-8.00001,5.18851e-06,8.9808e-07,-9.92333e-06,8.44885e-06,-2.36227e-06,-0.581355,2.90808e-06,280,59,-5.99998,8,124,83
-135,86,0,0,0,0,0,0,0,0,-1,15,64,0,0,-135,86
-130,86,-6,-8.00001,0,0,0,0,0,0,-1,20,64,-6.00001,8,-136,78
-125,86,-6,-8.00001,9.71664e-07,7.88221e-07,-2.24357e-06,2.00547e-06,-2.45586e-07,-0.744607,0,25,64,-6,8.00001,-131,78
-120,86,-6,-8.00001,1.5282e-06,1.01184e-06,-1.64117e-06,2.13026e-06,4.09778e-07,-0.632986,5.29266e-06,30,64,-6,8.00001,-126,78
-115,86,-6,-8,2.04448e-06,1.04465e-06,-1.22734e-06,2.33608e-06,7.53044e-07,-0.443597,1.40877e-05,35,64,-6,8,-121,78
-110,86,-5.99999,-8.00001,1.49261e-06,6.93771e-07,-9.7294e-07,1.72263e-06,4.63756e-07,-0.441673,5.25479e-06,40,64,-5.99999,8,-116,78
-105,86,-5.99999,-7.99999,3.6212e-07,2.98024e-07,-1.15762e-06,9.09769e-07,-2.49625e-07,-0.757742,0,45,64,-5.99999,8,-111,78
-100,86,-6,-8.00001,-6.10755e-07,-2.04258e-07,-1.04416e-06,1.52741e-07,-9.67754e-07,-0.971025,7.0287e-06,50,64,-6,8,-106,78
-95,86,-6,-8.00001,-7.70451e-07,-3.40675e-07,-3.77587e-07,-2.69521e-07,-8.41604e-07,-1.21037,1.13111e-05,55,64,-6,8.00001,-101,78
-90,86,-5.9999,-8.00011,-3.23642e-10,-3.72359e-07,6.41723e-07,1.84542e-07,-5.57225e-07,0.522702,0,60,64,-5.9999,8.0001,-95.9999,77.9999
-85,86,-5.99995,-8.00005,6.9115e-07,5.47818e-08,9.42912e-07,9.41747e-07,-1.95815e-07,0.488559,0,65,64,-5.99995,8.00006,-90.9999,77.9999
-80,86,-5.99991,-8.00004,1.78113e-07,7.64462e-07,5.55335e-07,8.75082e-07,6.74924e-08,1.19168,0,70,64,-5.99991,8.00004,-85.9999,78
-75,86,-6,-8.00001,-9.54441e-07,1.68227e-06,2.90843e-07,1.69027e-06,-9.62437e-07,1.51587,8.88431e-06,75,64,-6,8.00001,-81,78
-70,86,-5.99999,-7.99999,-1.98312e-06,1.95189e-06,3.60215e-07,1.96011e-06,-1.99135e-06,1.52515,1.07602e-05,80,64,-5.99999,7.99999,-76,78
-65,86,-5.99999,-7.99999,-2.07243e-06,1.66037e-06,-1.42291e-08,1.66039e-06,-2.07245e-06,-1.56889,6.16155e-06,85,64,-5.99999,8,-71,78
-60,86,-6.00001,-7.99998,-9.5308e-07,8.64577e-07,-5.32851e-07,9.02824e-07,-9.91327e-07,-1.42821,1.34934e-05,90,64,-6.00001,7.99999,-66,78
-55,86,-6,-8.00001,3.16679e-07,5.9427e-07,-1.20959e-06,1.07599e-06,-1.65043e-07,-0.898191,5.33534e-06,95,64,-6,8.00001,-61,78
-50,86,-5.99999,-8.00001,9.84665e-07,9.80941e-07,-1.51985e-06,1.74273e-06,2.22876e-07,-0.784173,7.30738e-06,100,64,-6,8.00001,-56,78
-45,86,-5.99999,-8.00002,6.91406e-07,1.45599e-06,-1.37225e-06,1.85914e-06,2.8826e-07,-1.03957,0,105,64,-6,8.00001,-51,78
