 "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "Xp",  "Yp"
50,136,-6,-8.00001,-3.38609e-07,-1.57317e-07,-1.72375e-06,6.18664e-07,-1.11459e-06,-0.837792,0,200,14,-5.99999,8.00001,44,128
55,136,-6.00002,-8.00001,4.06163e-07,3.23288e-07,-1.95609e-06,1.34365e-06,-6.14198e-07,-0.764227,0,205,14,-6.00001,8.00001,49,128
60,136,-6,-8.00001,1.23749e-06,2.87299e-06,-3.74986e-06,4.10074e-06,9.73773e-09,-0.991036,0,210,14,-5.99999,8,54,128
65,136,-6,-8.00001,2.27446e-06,6.22539e-06,-5.80848e-06,7.76234e-06,7.37505e-07,-1.08406,2.14822e-06,215,14,-6,8,59,128
70,136,-6,-8,1.76871e-06,1.00841e-05,-9.2435e-06,1.21431e-05,-2.90259e-07,-1.15169,3.06803e-06,220,14,-6,8,64,128
75,136,-5.99992,-8.00002,7.47933e-07,1.1226e-05,-1.05651e-05,1.34269e-05,-1.45298e-06,-1.17603,0,225,14,-5.99993,8.00002,69.0001,128
80,136,-6,-8,-6.3028e-08,9.26952e-06,-6.27044e-06,1.0225e-05,-1.01847e-06,-1.27499,0,230,14,-6,8,74,128
85,136,-5.99998,-8.00001,-7.62577e-07,4.62536e-06,9.83799e-07,4.6699e-06,-8.07118e-07,1.48049,0,235,14,-5.99999,8.00001,79,128
90,136,-5.99991,-8.00002,-1.4693e-07,8.01124e-07,5.09999e-06,2.92078e-06,-2.26658e-06,0.877296,0,240,14,-5.9999,8.00002,84.0001,128
95,136,-6,-7.99999,4.66618e-07,-2.64231e-06,7.04222e-06,2.76112e-06,-4.93682e-06,0.577529,0,245,14,-6,7.99999,89,128
100,136,-6,-8.00001,-3.2058e-07,-3.74173e-06,6.25231e-06,1.5324e-06,-5.59471e-06,0.53506,0,250,14,-6,8.00001,94,128
105,136,-5.99991,-8.00005,-9.07413e-07,-2.98888e-06,4.99701e-06,7.5845e-07,-4.65474e-06,0.588056,0,255,14,-5.99991,8.00005,99.0001,128
110,136,-6,-8,-1.2245e-06,1.08926e-06,1.07455e-06,1.20794e-06,-1.34317e-06,1.35341,6.55319e-06,260,14,-6,8,104,128
115,136,-6,-7.99998,-1.02056e-06,5.12315e-06,-4.81254e-06,5.9534e-06,-1.85081e-06,-1.23855,0,265,14,-5.99999,7.99999,109,128
120,136,-6,-8,7.37752e-07,6.23937e-06,-8.64757e-06,8.61321e-06,-1.63609e-06,-1.06871,9.76669e-06,270,14,-5.99999,8,114,128
125,136,-6,-8,2.34573e-06,2.93423e-06,-5.99899e-06,5.65387e-06,-3.73909e-07,-0.834292,8.06489e-06,275,14,-6.00002,8,119,128
130,136,-5.99997,-8.00002,4.60835e-06,-3.42565e-06,-2.2307e-07,4.6099e-06,-3.42719e-06,-0.0138793,0,280,14,-5.99995,8.00002,124,128
-135,131,0,0,0,0,0,0,0,0,-1,15,19,0,0,-135,131
-130,131,-6,-8,0,0,0,0,0,0,-1,20,19,-6,8,-136,123
-125,131,-6,-8,4.05335e-06,-9.1212e-08,6.47053e-07,4.07845e-06,-1.16314e-07,0.0774354,0,25,19,-6,8,-131,123
-120,131,-5.99998,-7.99999,3.18818e-06,-2.03342e-06,2.19687e-06,3.40985e-06,-2.25508e-06,0.199123,0,30,19,-5.99999,7.99999,-126,123
-115,131,-5.99999,-8,2.21958e-06,-1.74965e-06,1.94607e-06,2.44528e-06,-1.97535e-06,0.227924,0,35,19,-5.99999,8,-121,123
-110,131,-6,-8,1.05836e-06,8.5495e-08,2.15144e-07,1.07011e-06,7.37425e-08,0.108821,1.08254e-05,40,19,-6,8,-116,123
-105,131,-5.99992,-8.00007,-4.3056e-07,1.55405e-06,-7.71873e-07,1.62646e-06,-5.0297e-07,-1.38533,0,45,19,-5.99993,8.00007,-111,123
-100,131,-5.99994,-8.00008,-1.44234e-06,1.65216e-06,-9.53127e-07,1.72389e-06,-1.51407e-06,-1.4214,0,50,19,-5.99993,8.00008,-106,123
-95,131,-6,-8,-1.74846e-06,8.14021e-07,-2.5082e-08,8.14082e-07,-1.74852e-06,-1.5659,7.06229e-06,55,19,-6,8,-101,123
-90,131,-5.99995,-8.00005,-1.45518e-06,5.98721e-07,-1.61776e-07,6.01901e-07,-1.45836e-06,-1.53149,0,60,19,-5.99995,8.00005,-95.9999,123
-85,131,-5.99994,-8.00005,-6.98373e-07,4.65338e-07,-4.47786e-08,4.65769e-07,-6.98803e-07,-1.55157,0,65,19,-5.99994,8.00005,-90.9999,123
-80,131,-6.00001,-8.00002,-1.58153e-07,4.6597e-07,3.57173e-07,5.13458e-07,-2.05641e-07,1.3109,0,70,19,-6.00001,8.00002,-86,123
-75,131,-6.00005,-8,3.31866e-07,4.03156e-07,3.92603e-07,5.67023e-07,1.68e-07,0.875211,0,75,19,-6.00005,8,-81,123
-70,131,-5.99994,-8.00008,8.47734e-07,2.13944e-06,-8.08188e-07,2.25544e-06,7.31735e-07,-1.29125,0,80,19,-5.99994,8.00008,-75.9999,123
-65,131,-5.99998,-7.99996,6.67627e-07,3.77561e-06,-1.43486e-06,3.93322e-06,5.10011e-07,-1.35454,7.98304e-06,85,19,-5.99998,7.99996,-71,123
-60,131,-5.99995,-8.00009,6.05748e-08,4.2028e-06,-9.14403e-07,4.25266e-06,1.07109e-08,-1.46216,0,90,19,-5.99995,8.00009,-65.9999,123
-55,131,-5.99998,-8,1.24362e-08,3.09518e-06,-2.15305e-07,3.09893e-06,8.68135e-09,-1.53593,1.15353e-05,95,19,-5.99998,8,-61,123
-50,131,-6.00001,-8,2.55115e-07,2.72395e-06,-1.16107e-06,2.85364e-06,1.25418e-07,-1.351,1.77136e-05,100,19,-6.00001,8,-56,123
-45,131,-5.99992,-8.00009,-2.23591e-08,2.7955e-06,-2.43684e-06,3.24926e-06,-4.76123e-07,-1.21429,0,105,19,-5.99991,8.00009,-50.9999,123
-40,131,-6,-8.00001,-7.80865e-07,2.63623e-06,-2.42025e-06,3.02137e-06,-1.16601e-06,-1.26267,8.50224e-06,110,19,-6,8.00001,-46,123
